Gender,Age,Height,Weight,family_history_with_overweight,CH2O,FAF,Obesity
1,23,1.6,70,1,2,1,0
1,18,1.82,59.26,1,2,2,0
0,19,1.52,42,1,1,0,0
1,27,1.8,85,0,3,3,0
0,32,1.67,71.79,1,2,1,0
0,26,1.63,53,1,2,0,0
0,18,1.71,55.01,1,3,2,0
1,18,1.77,51.12,1,1,1,0
0,19,1.59,51,0,2,2,0
1,20,1.61,53,1,2,3,0
1,21,1.72,70,0,1,2,0
1,21,1.69,60,1,2,1,0
0,22,1.65,80.39,1,2,2,0
1,21,1.8,88,1,3,1,0
0,20,1.67,56,1,2,0,0
0,35,1.7,73.94,0,2,3,0
0,18,1.72,75,1,2,3,0
1,21,1.7,66,0,2,0,0
1,18,1.7,50.16,1,1,1,0
0,23,1.66,50.42,1,2,0,0
0,23,1.7,50,1,2,0,0
1,31,1.74,74,1,2,1,0
0,21,1.64,63,1,2,1,0
0,20,1.56,53,0,2,1,0
1,19,1.7,70,0,2,2,0
1,20,1.74,87.66,1,1,0,0
1,20,1.77,60,1,1,1,0
1,18,1.87,50,0,1,2,0
1,26,1.8,75,1,2,3,0
1,33,1.65,83,1,2,2,0
0,22,1.76,51.71,1,1,1,0
1,21,1.79,90,1,3,2,0
1,18,1.72,84.06,1,2,1,0
1,21,1.72,80,1,2,2,0
0,20,1.78,49.98,0,2,0,0
1,17,1.81,85.23,1,2,1,0
1,18,1.72,85,1,3,1,0
0,17,1.7,80,1,2,1,0
0,19,1.7,78,1,3,1,0
0,18,1.61,68,0,2,1,0
1,18,1.82,86.08,1,2,3,0
0,23,1.67,50,1,2,3,0
1,55,1.6,80,1,3,3,0
1,21,1.75,70,1,3,1,0
0,20,1.63,64,1,2,0,0
0,23,1.65,60,1,2,0,0
1,21,1.63,70,0,3,1,0
1,23,1.71,75,0,1,0,0
1,18,1.82,71,1,2,0,0
0,19,1.55,63,0,1,2,0
1,22,1.75,88.04,1,2,1,0
0,31,1.65,71.79,1,3,0,0
0,22,1.65,60,0,3,2,0
0,22,1.7,68.87,1,1,1,0
1,24,1.7,60,1,2,0,0
1,18,1.78,70,0,1,1,0
1,31,1.8,83.29,1,2,1,0
0,22,1.7,50.17,1,3,1,0
0,19,1.48,45,0,1,1,0
1,18,1.7,83.41,1,2,1,0
1,18,1.68,79.75,1,2,0,0
1,19,1.7,80,1,2,3,0
0,17,1.67,67,1,1,0,0
1,18,1.73,51.49,1,1,1,0
0,21,1.69,63,0,1,0,0
1,25,1.81,87,0,2,2,0
0,21,1.7,75.06,1,2,0,0
0,23,1.67,80.38,1,2,1,0
1,19,1.7,72,0,2,1,0
1,17,1.7,87,0,3,1,0
0,18,1.63,59,1,1,1,0
1,21,1.81,85.07,1,3,1,0
1,23,1.8,85,1,2,2,0
1,23,1.76,51.88,0,2,1,0
1,33,1.8,85,0,2,2,0
0,23,1.7,78,1,3,0,0
1,26,1.93,84,0,2,2,0
0,19,1.6,39.59,0,3,1,0
1,30,1.84,92.86,1,2,0,0
0,34,1.71,75.06,1,2,0,0
1,27,1.8,86.98,0,2,2,0
1,20,1.6,56,0,2,1,0
0,21,1.54,62,0,1,1,0
0,21,1.63,68,1,3,2,0
0,25,1.57,55,0,1,0,0
1,29,1.62,69,0,1,0,0
1,17,1.79,62,1,2,1,0
1,16,1.69,64,0,2,1,0
0,20,1.55,63,0,2,1,0
0,23,1.6,68,1,2,0,0
0,17,1.65,50,1,2,1,0
1,31,1.73,84.77,1,2,0,0
0,21,1.7,51.73,1,2,1,0
0,23,1.65,80,1,2,2,0
1,33,1.75,84.21,1,2,1,0
1,17,1.7,68,0,2,1,0
0,21,1.65,62,0,2,0,0
0,19,1.5,55,1,1,1,0
1,20,1.81,87.86,0,2,2,0
1,18,1.71,83.41,1,2,1,0
0,19,1.57,39.85,0,1,1,0
1,19,1.83,82,1,3,3,0
0,34,1.69,83.57,1,2,1,0
1,24,1.7,83.99,1,2,1,0
1,19,1.78,57.15,1,2,2,0
0,23,1.59,42.3,0,2,0,0
0,23,1.7,73,1,2,2,0
1,33,1.8,86,1,2,2,0
1,25,1.76,88.53,1,2,0,0
1,22,1.71,52,0,1,2,0
0,30,1.62,59,1,2,2,0
1,23,1.7,80,0,1,1,0
1,19,1.74,79,1,2,1,0
0,47,1.56,77.35,1,2,1,0
1,17,1.7,57,0,2,3,0
1,23,1.88,71,1,2,3,0
0,21,1.5,58,1,1,0,0
0,19,1.75,75,1,2,0,0
1,35,1.7,84.73,1,2,1,0
0,22,1.64,68.39,1,2,0,0
0,22,1.76,78,1,2,2,0
0,24,1.6,64.81,0,2,0,0
0,16,1.65,70,0,3,1,0
1,17,1.7,85,1,2,2,0
0,22,1.71,69,0,1,1,0
0,20,1.69,55.7,0,1,0,0
1,17,1.75,52,1,2,1,0
0,23,1.6,50,1,2,1,0
0,19,1.62,70,0,2,2,0
0,20,1.54,42,0,1,0,0
1,17,1.6,50,1,2,2,0
0,21,1.62,68.98,0,3,2,0
0,21,1.56,63,1,2,1,0
0,18,1.63,50,0,2,2,0
1,24,1.72,75.97,1,2,1,0
0,22,1.59,44.24,0,3,1,0
0,23,1.67,75,1,2,0,0
0,18,1.56,39.37,0,2,1,0
1,18,1.72,53,1,1,1,0
1,21,1.65,70,1,2,1,0
1,19,1.77,78,1,2,1,0
1,24,1.71,83.02,1,2,0,0
0,23,1.59,44.66,0,3,1,0
0,20,1.56,51.5,0,2,3,0
0,18,1.62,58,0,2,1,0
0,26,1.6,78.06,1,3,0,0
1,18,1.84,97.97,1,3,1,0
1,23,1.86,88.68,1,1,1,0
1,35,1.72,98.26,1,2,1,0
1,24,1.77,85.32,1,3,2,0
0,27,1.7,78,1,2,1,0
1,21,1.7,65,1,2,1,0
1,21,1.7,70,1,2,1,0
1,21,1.79,89.8,1,2,0,0
0,29,1.75,78,1,2,2,0
1,33,1.7,75,1,1,2,0
0,33,1.66,74,1,3,1,0
1,33,1.84,97.03,1,3,1,0
1,27,1.8,97,1,2,0,0
1,19,1.84,58.31,1,2,2,0
0,23,1.61,64,1,2,0,0
0,34,1.74,77,0,2,1,0
0,21,1.53,61.26,0,1,1,0
1,19,1.82,72,1,2,1,0
1,18,1.76,52,0,1,1,0
0,19,1.63,60,1,1,0,0
0,21,1.6,48,0,2,0,0
0,21,1.66,60,0,2,1,0
1,20,1.82,57.79,1,3,2,0
1,18,1.76,55,1,2,2,0
1,34,1.7,84,1,2,0,0
0,18,1.72,50,1,1,2,0
0,16,1.6,44.58,0,2,0,0
1,24,1.7,78,1,3,1,0
1,23,1.64,70,1,2,0,0
0,35,1.64,79.84,1,1,0,0
0,21,1.55,58,0,1,0,0
1,17,1.78,58,0,2,1,0
1,31,1.87,91.36,1,2,1,0
